5000  0
5000  0
5000  0
5000  0
10000  0.1
10000  0.416228
10000  -0.216228
10000  0.1
15000  0.1
15000  0.416228
15000  -0.216228
15000  0.1
20000  0.3
20000  0.783046
20000  -0.183046
20000  0.3
25000  0.5
25000  1.02705
25000  -0.0270463
25000  0.5
30000  0.5
30000  1.02705
30000  -0.0270463
30000  0.5
35000  1
35000  1
35000  1
35000  1
40000  1
40000  1
40000  1
40000  1
45000  1.6
45000  2.1164
45000  1.0836
45000  1.6
50000  1.7
50000  2.18305
50000  1.21695
50000  1.7
55000  2.2
55000  2.62164
55000  1.77836
55000  2.2
60000  2.5
60000  3.02705
60000  1.97295
60000  2.5
65000  3.1
65000  3.41623
65000  2.78377
65000  3.1
70000  3.5
70000  4.02705
70000  2.97295
70000  3.5
75000  4
75000  4
75000  4
75000  4
80000  4.4
80000  4.9164
80000  3.8836
80000  4.4
85000  5.2
85000  5.62164
85000  4.77836
85000  5.2
90000  5.8
90000  6.22164
90000  5.37836
90000  5.8
95000  6.5
95000  7.02705
95000  5.97295
95000  6.5
100000  7.2
100000  7.62164
100000  6.77836
100000  7.2
